"date.obs" "id.stat" "lon.stat" "lat.stat" "forecast" "obs"
2000011200 1 48.55 -117.88 1014.137 1015.996
2000011200 2 44.88 -116.1 1017.759 1016.655
2000011200 3 47.2 -119.32 1013.623 1014.419
2000011200 4 42.58 -117.89 1015.271 1016.37
2000011200 5 46.14 -115.6 1017.697 1015.937
2000011200 6 47.95 -124.55 1008.533 1013.427
2000011200 7 43.58 -118.95 1015.135 1017.701
2000011200 8 46.1 -118.28 1014.772 1016.602
2000011200 9 47.53 -122.3 1010.837 1012.913
2000011200 10 48.8 -122.53 1009.99 1013.054
2000011200 11 48.12 -123.5 1009.062 1012.679
2000011200 12 47.97 -117.43 1014.81 1017.212
2000011200 13 47.03 -120.53 1013.462 1015.074
2000011200 14 48.52 -123.02 1009.543 1012.077
2000011200 15 45.53 -122.95 1011.515 1014.047
2000011200 16 45.83 -119.26 1013.993 1013.825
2000011200 17 42.15 -121.73 1012.888 1014.22
2000011200 18 46.57 -119.6 1012.925 1014.842
2000011200 19 47.45 -115.68 1016.751 1016.161
2000011200 20 45.19 -123.14 1011.442 1013.071
2000011200 21 48.46 -119.52 1014.136 1016.218
2000011200 22 44.02 -117.02 1018.241 1017.95
2000011200 23 47.9 -122.28 1011.023 1013.447
2000011200 24 46.27 -119.12 1013.549 1014.493
2000011200 25 46.75 -117.12 1015.606 1016.113
2000011200 26 43.23 -123.35 1010.522 1013.088
2000011200 27 47.5 -122.22 1010.898 1013.667
2000011200 28 47.68 -117.32 1014.798 1017.119
2000011200 29 45.77 -122.86 1011.582 1014.204
2000011200 30 47.27 -122.58 1010.905 1014.718
2000011200 31 45.55 -122.4 1011.914 1014.56
2000011200 32 45.25 -122.77 1011.495 1014.516
2000011200 33 45.62 -122.66 1011.701 1014.707
2000011200 34 47.4 -120.2 1013.394 1014.563
2000011200 35 43.42 -124.25 1010.073 1013.579
2000011200 36 41.78 -122.47 1012.462 1015.284
2000011200 37 42.37 -122.87 1009.132 1013.858
2000011200 38 47.63 -117.53 1014.6 1016.654
2000011200 39 43.57 -116.22 1019.899 1017.683
2000011200 40 45.68 -118.85 1014.732 1016.636
2000011200 41 46.92 -114.08 1018.592 1017.601
2000011200 42 45.6 -122.6 1011.744 1014.529
2000011200 43 41.32 -122.32 1014.591 1016.945
2000011200 44 44.92 -123 1011.471 1013.912
2000011200 45 45.52 -118.4 1015.754 1015.711
2000011200 46 42.62 -123.37 1009.554 1012.655
2000011200 47 47.28 -121.33 1012.369 1014.636
2000011200 48 40.9 -117.8 1016.379 1015.544
2000011200 49 46.97 -122.9 1010.963 1014.054
2000011200 50 47.23 -123.15 1010.759 1012.997
2000011300 1 48.55 -117.88 1014.098 1015.058
2000011300 2 44.88 -116.1 1020.348 1018.792
2000011300 3 47.2 -119.32 1015.167 1017.371
2000011300 155 44.58 -124.07 1017.502 1016.941
2000011300 5 46.14 -115.6 1017.117 1016.271
2000011300 8 46.1 -118.28 1017.262 1019.027
2000011300 9 47.53 -122.3 1013.225 1013.903
2000011300 10 48.8 -122.53 1008.366 1013.673
2000011300 11 48.12 -123.5 1007.776 1013
2000011300 12 47.97 -117.43 1015.912 1016.105
2000011300 13 47.03 -120.53 1014.723 1015.599
2000011300 14 48.52 -123.02 1007.707 1012.739
2000011300 4 42.58 -117.89 1017.809 1017.47
2000011300 6 47.95 -124.55 1008.137 1012.372
2000011300 15 45.53 -122.95 1017.698 1017.761
2000011300 16 45.83 -119.26 1017.196 1017.996
2000011300 17 42.15 -121.73 1020.006 1018.672
2000011300 19 47.45 -115.68 1016.404 1015.199
2000011300 20 45.19 -123.14 1017.967 1018.647
2000011300 21 48.46 -119.52 1013.262 1015.277
2000011300 22 44.02 -117.02 1021.079 1018.935
2000011300 23 47.9 -122.28 1011.526 1014.294
2000011300 7 43.58 -118.95 1020.423 1019.376
2000011300 24 46.27 -119.12 1016.902 1016.94
2000011300 25 46.75 -117.12 1017.53 1017.574
2000011300 26 43.23 -123.35 1017.897 1017.079
2000011300 27 47.5 -122.22 1013.526 1014.795
2000011300 28 47.68 -117.32 1016.501 1016.921
2000011300 29 45.77 -122.86 1017.635 1016.139
2000011300 30 47.27 -122.58 1013.798 1014.761
2000011300 31 45.55 -122.4 1018.221 1017.38
2000011300 32 45.25 -122.77 1018.027 1017.094
2000011300 33 45.62 -122.66 1017.862 1017.691
2000011300 34 47.4 -120.2 1013.772 1015.491
2000011300 18 46.57 -119.6 1015.826 1016.19
2000011300 35 43.42 -124.25 1018.225 1014.984
2000011300 37 42.37 -122.87 1017.173 1016.205
2000011300 42 45.6 -122.6 1017.938 1017.473
2000011300 39 43.57 -116.22 1021.235 1018.267
2000011300 41 46.92 -114.08 1016.837 1017.574
2000011300 40 45.68 -118.85 1017.274 1016.759
2000011300 38 47.63 -117.53 1016.43 1017.207
2000011300 43 41.32 -122.32 1018.753 1018.253
2000011300 53 46.15 -123.88 1015.307 1015.35
2000011300 50 47.23 -123.15 1013.013 1014.391
2000011300 54 48.3 -114.27 1015.421 1017.783
2000011300 60 43.05 -115.87 1021.235 1018.798
2000011300 45 45.52 -118.4 1017.921 1018.871
2000011300 44 44.92 -123 1018.322 1018.352
2000011300 52 44.12 -123.22 1018.785 1016.144
2000011400 1 48.55 -117.88 1016.253 1018.443
